source,destination,product,component,time,distance (km),amount sent (tonne),transportation cost ($),variable operating cost ($)
Collection (Los Angeles),MRF (Phoenix),Waste,Paper,1,668.923,3640.0000000000005,121743.98600000002,3640.0000000000005
Collection (Los Angeles),MRF (Phoenix),Waste,Paper,2,668.923,4991.000000000001,166929.73465000006,4991.000000000001
Collection (Los Angeles),MRF (Phoenix),Waste,Cardboard,1,668.923,5200.0,173919.98,5200.0
Collection (Los Angeles),MRF (Phoenix),Waste,Cardboard,2,668.923,7130.0,238471.04950000002,7130.0
Collection (Chicago),MRF (Chicago),Waste,Film,1,0.0,716.0,0.0,716.0
Collection (Chicago),MRF (Chicago),Waste,Film,2,0.0,1394.0,0.0,1394.0
Collection (Chicago),MRF (Chicago),Waste,Paper,1,0.0,2864.0,0.0,2864.0
Collection (Chicago),MRF (Chicago),Waste,Paper,2,0.0,5576.0,0.0,5576.0
Collection (Chicago),MRF (Chicago),Waste,Cardboard,1,0.0,1074.0,0.0,1074.0
Collection (Chicago),MRF (Chicago),Waste,Cardboard,2,0.0,2091.0,0.0,2091.0
Collection (Dallas),MRF (Dallas),Waste,Film,1,0.0,5096.0,0.0,5096.0
Collection (Dallas),MRF (Dallas),Waste,Film,2,0.0,4354.0,0.0,4354.0
Collection (Dallas),MRF (Dallas),Waste,Paper,1,0.0,728.0,0.0,728.0
Collection (Dallas),MRF (Dallas),Waste,Paper,2,0.0,622.0,0.0,622.0
Collection (Dallas),MRF (Dallas),Waste,Cardboard,1,0.0,5824.0,0.0,5824.0
Collection (Dallas),MRF (Dallas),Waste,Cardboard,2,0.0,4976.0,0.0,4976.0
Collection (Phoenix),MRF (Phoenix),Waste,Film,1,0.0,3635.0,0.0,3635.0
Collection (Phoenix),MRF (Phoenix),Waste,Film,2,0.0,2275.0,0.0,2275.0
Collection (Phoenix),MRF (Phoenix),Waste,Paper,1,0.0,6543.0,0.0,6543.0
Collection (Phoenix),MRF (Phoenix),Waste,Paper,2,0.0,4095.0,0.0,4095.0
Collection (Phoenix),MRF (Phoenix),Waste,Cardboard,1,0.0,5089.0,0.0,5089.0
Collection (Phoenix),MRF (Phoenix),Waste,Cardboard,2,0.0,3185.0,0.0,3185.0
Collection (San Diego),MRF (Phoenix),Waste,Film,1,567.242,6690.0,189742.449,6690.0
Collection (San Diego),MRF (Phoenix),Waste,Film,2,567.242,8460.0,239943.36599999998,8460.0
Collection (San Diego),MRF (Phoenix),Waste,Paper,1,567.242,1338.0,37948.489799999996,1338.0
Collection (San Diego),MRF (Phoenix),Waste,Paper,2,567.242,1692.0,47988.6732,1692.0
Collection (San Diego),MRF (Phoenix),Waste,Cardboard,1,567.242,4014.0,113845.46939999999,4014.0
Collection (San Diego),MRF (Phoenix),Waste,Cardboard,2,567.242,5076.0,143966.0196,5076.0
Collection (Philadelphia),MRF (Chicago),Waste,Film,1,1244.116,220.0,13685.276000000002,220.0
Collection (Philadelphia),MRF (Chicago),Waste,Film,2,1244.116,962.0,59841.979600000006,962.0
Collection (Philadelphia),MRF (Chicago),Waste,Paper,1,1244.116,880.0,54741.10400000001,880.0
Collection (Philadelphia),MRF (Chicago),Waste,Paper,2,1244.116,3848.0,239367.91840000002,3848.0
Collection (Philadelphia),MRF (Chicago),Waste,Cardboard,1,1244.116,880.0,54741.10400000001,880.0
Collection (Philadelphia),MRF (Chicago),Waste,Cardboard,2,1244.116,3848.0,239367.91840000002,3848.0
Collection (Houston),MRF (Dallas),Waste,Film,1,411.89,2668.0,54946.126,2668.0
Collection (Houston),MRF (Dallas),Waste,Film,2,411.89,1852.0,38141.014,1852.0
Collection (Houston),MRF (Dallas),Waste,Paper,1,411.89,4669.0,96155.7205,4669.0
Collection (Houston),MRF (Dallas),Waste,Paper,2,411.89,3241.0,66746.7745,3241.0
Collection (Houston),MRF (Dallas),Waste,Cardboard,1,411.89,6670.0,137365.315,6670.0
Collection (Houston),MRF (Dallas),Waste,Cardboard,2,411.89,4630.0,95352.535,4630.0
